query,location_lat,location_long,location_address
Kohima Nagaland India,25.75,94.166667,"Kohīma, Kohima, Nagaland, 797003, India"
Kolar Karnataka India,13.1367201,78.1337246,"Kolar, Kolar taluk, Kolar district, Karnataka, 563101, India"
Kolhapur Maharashtra India,16.7028412,74.2405329,"Kolhapur, Maharashtra, 416003, India"
Kolkata  West Bengal India,22.5414185,88.35769124,"Kolkata, West Bengal, India"
Kollam Kerala India,8.8879509,76.5955013,"Kollam, Kerala, 691001, India"
Kota Rajasthan India,25.1737019,75.8574194,"Kota, Ladpura Tehsil, Kota District, Rajasthan, 324001, India"
Krishnanagar West Bengal India,23.4058481,88.4958935,"Krishnanagar, Krishnagar-I, Nadia, West Bengal, 741101, India"
Krishnapuram Tamil Nadu  India,11.1757811,78.6030686,"Krishnapuram, Thuraiyur, Tiruchirappalli District, Tamil Nadu, 621016, India"
Kumbakonam Tamil Nadu  India,10.9645549,79.37173036,"Kumbakonam, Thanjavur District, Tamil Nadu, India"
Kurnool Andhra Pradesh India,15.8309251,78.0425373,"Kurnool, Andhra Pradesh, 518001, India"
Latur Maharashtra India,18.35159075,76.75542361,"Latur, Maharashtra, India"
Lucknow Uttar Pradesh India,26.8381,80.9346001,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India"
Ludhiana Punjab India,30.9090157,75.851601,"Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141008, India"
Machilipatnam Andhra Pradesh India,16.1817369,81.1348181,"Machilipatnam, Krishna, Andhra Pradesh, 521001, India"
Madurai Tamil Nadu  India,9.9261153,78.1140983,"Madurai, Madurai South, Madurai District, Tamil Nadu, India"
Mahabubnagar Telangana India,16.69656855,77.95911462,"Mahabubnagar, Telangana, India"
Malegaon Camp Maharashtra India,20.5688507,74.5132497,"Bhamare Hospital - Malegaon-Camp, SH16, Malegaon, Nashik, Maharashtra, 423105, India"
Mangalore Karnataka India,12.8698101,74.8430082,"Mangaluru, Mangaluru taluk, Dakshina Kannada district, Karnataka, 575001, India"
Mathura Uttar Pradesh India,27.633333,77.583333,"Mathura, Uttar Pradesh, India"
Meerut Uttar Pradesh India,29.00065255,77.76822875,"Meerut, Uttar Pradesh, India"
Mirzapur Uttar Pradesh India,25.1010477,82.62574936,"Mirzapur, Mirzapur District, Uttar Pradesh, India"
Moradabad Uttar Pradesh India,28.8638424,78.80577833,"Moradabad, Uttar Pradesh, India"
Mumbai Maharashtra India,19.0785451,72.878176,"Mumbai, Mumbai Metropolitan Region, Mumbai Suburban, Maharashtra, India"
Muzaffarnagar Uttar Pradesh India,29.44800635,77.74068503,"Muzaffarnagar, Uttar Pradesh, India"
Muzaffarpur Bihar India,26.1486581,85.34001282,"Muzaffarpur, Bihar, India"
Mysore Karnataka India,12.3051828,76.6553609,"Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India"
Nagercoil Tamil Nadu  India,8.1880471,77.4290492,"Nagercoil, Agastheeswaram, Kanyakumari District, Tamil Nadu, 629001, India"
Nalgonda Telangana India,16.8579636,79.21749353,"Nalgonda, Telangana, India"
Nanded Maharashtra India,19.09400875,77.48319215,"Nanded, Maharashtra, India"
Nandyal Andhra Pradesh India,15.52481495,78.41517104,"Nandyal, Andhra Pradesh, India"
Nasik Maharashtra India,20.0112475,73.7902364,"Nashik, Maharashtra, India"
Navsari Gujarat India,20.952407,72.9323831,"Navsari, Navsari Taluka, Nav Sari District, Gujarat, 396400, India"
Nellore Andhra Pradesh India,13.4923257,79.202539,"Nellore Andhra, NH140, Patapeta, Panapakam, Chandragiri, Tirupati, Andhra Pradesh, India"
New Delhi Delhi India,28.6138954,77.2090057,"New Delhi, Delhi, India"
Nizamabad Telangana India,18.75,78.25,"Nizamabad, Telangana, India"
Ongole Andhra Pradesh India,15.5075545,80.06080047,"Ongole, Prakasam, Andhra Pradesh, India"
Pali Rajasthan India,25.6040908,73.41560879,"Pali, Rajasthan, India"
Panaji Goa India,15.4989946,73.8282141,"Panaji, Tiswadi, North Goa, Goa, 403001, India"
Panchkula Haryana India,30.7137692,76.868276,"Panchkula, Haryana, India"
Panipat Haryana India,29.3912753,76.9771675,"Panipat, Haryana, 132100, India"
Parbhani Maharashtra India,19.29031365,76.60290343,"Parbhani, Maharashtra, India"
Pathankot Punjab India,32.2692452,75.6528858,"Pathankot, Pathankot Tahsil, Pathankot district, Punjab, 145001, India"
Patiala Punjab India,30.2090874,76.33987209,"Patiala, Punjab, India"
Patna Bihar India,25.6093239,85.1235252,"Patna, Patna Rural, Patna District, Bihar, 800001, India"
Pilibhit Uttar Pradesh India,28.6908066,79.83107249,"Pilibhit, Pilibhit District, Uttar Pradesh, India"
Porbandar Gujarat India,21.6409,69.611,"Porbandar, Porbandar Taluka, Porbandar District, Gujarat, 360500, India"
Port Blair Andaman and Nicobar Islands India,11.6645348,92.7390448,"Port Blair, Port Blair Tehsil, South Andaman District, Andaman and Nicobar Islands, 744101, India"
Proddatur Andhra Pradesh India,14.7522659,78.5485518,"Proddatur, YSR, Andhra Pradesh, India"
Puducherry Puducherry India,11.9340568,79.8306447,"Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India"
Pune Maharashtra India,18.521428,73.8544541,"Pune City, Maharashtra, India"
Puri Odisha India,19.8076083,85.8252538,"Puri, Puri (M), Puri, Odisha, 752001, India"
Purnea Bihar India,25.7773601,87.4731227,"Purnia, Purnia East, Purnia district, Bihar, 854301, India"
Raichur Karnataka India,16.083333,77.166667,"Raichur, Raichur district, Karnataka, India"
Raipur Chhattisgarh India,21.2380912,81.6336993,"Raipur, Raipur Tahsil, Raipur, Chhattisgarh, 493332, India"
Rajahmundry Andhra Pradesh India,17.0050454,81.7804732,"Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533100, India"
Rajapalaiyam Tamil Nadu  India,9.4522179,77.5607781,"Rajapalaiyam, T.P. Mills Road, Malayadipatti, Palayapalayam, Rajapalayam, Virudhunagar District, Tamil Nadu, 626117, India"
Rajkot Gujarat India,22.3053263,70.8028377,"Rajkot, Rajkot Taluka, Rajkot, Gujarat, 360001, India"
Ramagundam Telangana India,18.7615156,79.4787848,"Ramagundam, Ramagundam mandal, Peddapalli, Telangana, 505208, India"
Rampura Rajasthan India,24.6631254,76.6207123,"Rampura, Chhipabarod Tehsil, Baran, Rajasthan, India"
Ranchi Jharkhand India,23.3700501,85.3250387,"Ranchi, Kanke, Ranchi, Jharkhand, 834001, India"
Ratlam Madhya Pradesh India,23.4805919,74.91931943,"Ratlam, Madhya Pradesh, India"
Raurkela Odisha India,22.21428495,84.87243687,"Raurkela (M), Sundargarh, Odisha, India"
Rohtak Haryana India,28.9010899,76.5801935,"Rohtak, Haryana, 124001, India"
Saharanpur Uttar Pradesh India,29.9880774,77.50812995,"Saharanpur, Uttar Pradesh, India"
Saidapur Uttar Pradesh India,,,
Saidpur Jammu and Kashmir India,,,
Salem Tamil Nadu  India,11.6612012,78.1602498,"Salem, Salem District, Tamil Nadu, India"
Samlaipadar Odisha India,21.2223813,83.4764224,"Samlaipadar, Bijepur, Bargarh, Odisha, 768032, India"
Sangli Maharashtra India,17.1726928,74.58676543,"Sangli, Maharashtra, India"
Saugor Madhya Pradesh India,23.8477612,78.7433318,"Saugor, NH934, Sagar, Sagar Tahsil, Sagar, Madhya Pradesh, 470001, India"
Shahbazpur Uttar Pradesh India,,,
Shiliguri West Bengal India,26.7164127,88.4309916,"Siliguri, Matigara block, Darjeeling District, West Bengal, India"
Shillong  Meghalaya India,25.5760446,91.8825282,"Shillong, Police Bazar Road, Mawkhar, Shillong, Mylliem, East Khasi Hills, Meghalaya, 793001, India"
Shimla Himachal Pradesh India,31.1041526,77.1709729,"Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India"
Shimoga Karnataka India,13.9326093,75.574978,"Shivamogga, Shivamogga taluku, Shimoga District, Karnataka, 577200, India"
Sikar Rajasthan India,27.662826,75.02792629,"Sikar, Rajasthan, India"
Silchar Assam India,24.8178611,92.75622075,"Silchar, Cachar, Assam, India"
Silvassa Dadra and Nagar Haveli India,20.2736768,73.0045787,"Silvassa, Nagar Haveli, Dadra and Nagar Haveli, Dadra and Nagar Haveli and Daman and Diu, 396230, India"
Sirsa Haryana India,,,
Sonipat Haryana India,28.9953758,77.0233627,"Sonipat, Haryana, 131001, India"
Srinagar Jammu and Kashmir India,34.0747444,74.8204443,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India"
Surat Gujarat India,21.19177615,72.95441578,"Surat, Gujarat, India"
Tezpur Assam India,26.61695705,92.76500717,"Tezpur, Sonitpur, Assam, India"
Thanjavur Tamil Nadu  India,10.7860267,79.1381497,"Thanjavur, Thanjavur District, Tamil Nadu, 613001, India"
Tharati Etawah Uttar Pradesh India,,,
Thiruvananthapuram Kerala India,8.4882267,76.947551,"Thiruvananthapuram, Kerala, 695001, India"
Tiruchchirappalli Tamil Nadu  India,10.8067917,78.7039861,"Tiruchchirāppalli, Tiruchirappalli District, Tamil Nadu, 620010, India"
Tirunelveli Tamil Nadu  India,8.7284271,77.7112925,"Tirunelveli, Tirunelveli District, Tamil Nadu, 627001, India"
Tirupati Andhra Pradesh India,13.77928955,79.83512262,"Tirupati, Andhra Pradesh, India"
Tiruvannamalai Tamil Nadu  India,12.22721295,79.07015555,"Tiruvannamalai, Tiruvanamalai District, Tamil Nadu, India"
Tonk Rajasthan India,26.12214725,75.66375374,"Tonk, Rajasthan, India"
Tuticorin Tamil Nadu  India,8.8052602,78.1452745,"Thoothukudi, Thoothukkudi, Thoothukkudi District, Tamil Nadu, 628001, India"
Udaipur Rajasthan India,24.578721,73.6862571,"Udaipur, Girwa Tehsil, Udaipur, Rajasthan, 313001, India"
Ujjain Madhya Pradesh India,23.1885131,75.7716562,"Ujjain, Ujjain Tahsil, Ujjain, Madhya Pradesh, 456001, India"
Vadodara Gujarat India,22.2973142,73.1942567,"Vadodara, Vadodara Taluka, Vadodara District, Gujarat, 390001, India"
Valparai Tamil Nadu  India,10.39017065,76.95120218,"Valparai, Coimbatore District, Tamil Nadu, India"
Varanasi Uttar Pradesh India,25.3356491,83.0076292,"Varanasi, Sadar, Varanasi, Uttar Pradesh, 221001, India"
Vellore Tamil Nadu  India,12.7948109,79.0006411,"Vellore, Vellore District, Tamil Nadu, India"
Vishakhapatnam Andhra Pradesh India,,,
Vizianagaram Andhra Pradesh India,18.1120819,83.40521962,"Vizianagaram, Andhra Pradesh, India"
Warangal Telangana India,17.9820644,79.5970954,"Warangal, Warangal mandal, Hanumakonda, Telangana, 506002, India"
Jorapokhar Jharkhand India,23.7167069,86.4110166,"Jorapokhar, Jharia, Jharia-Cum-Jorapokhar-Cum-Sindri, Dhanbad, Jharkhand, 828111, India"
Brajrajnagar Odisha India,21.8498594,83.9254698,"Community Health Centre, Brajrajnagar, Bilaspur - Kharagpur Highway, Orient, Jharsuguda, Odisha, 768216, India"
Talcher Odisha India,20.9458183,85.2111736,"Talcher, Colliery, Anugul, Odisha, 759100, India"
